-0.028442	0.151855	0.467407	0.000318	-0.004135	0.006043	1
-0.029541	0.155029	0.466553	0.001336	-0.004071	0.006361	2
-0.029907	0.152954	0.465942	0.001590	-0.003944	0.005598	3
-0.030518	0.155640	0.468506	0.002608	-0.004135	0.005980	4
-0.030151	0.156128	0.463257	0.002863	-0.004135	0.005852	5
-0.031616	0.155884	0.461670	0.003499	-0.005216	0.005789	6
-0.032349	0.154541	0.465454	0.003753	-0.004008	0.005471	7
-0.031738	0.156006	0.463989	0.004071	-0.005153	0.005471	8
-0.031616	0.156860	0.468384	0.004135	-0.005598	0.005471	9
-0.030151	0.157471	0.464233	0.004071	-0.005534	0.005089	10
-0.028931	0.157349	0.463501	0.003372	-0.005344	0.004898	11
-0.029663	0.157227	0.464844	0.002990	-0.004835	0.004898	12
-0.031616	0.158081	0.464478	0.003053	-0.005153	0.004071	13
-0.029907	0.155396	0.463501	0.002926	-0.005598	0.003499	14
-0.028809	0.152344	0.462646	0.002926	-0.005789	0.003435	15
-0.028564	0.154785	0.461670	0.003244	-0.006107	0.003244	16
-0.030273	0.153442	0.464111	0.002863	-0.006489	0.002926	17
-0.028687	0.153564	0.461914	0.002990	-0.007252	0.002226	18
-0.029541	0.156250	0.460327	0.002735	-0.006870	0.001908	19
-0.029663	0.155762	0.461914	0.002417	-0.007506	0.002481	20
-0.027222	0.154663	0.464600	0.001845	-0.007888	0.002226	21
-0.029175	0.153198	0.466431	0.001654	-0.008142	0.001781	22
-0.027466	0.150879	0.466064	0.001463	-0.007888	0.001336	23
-0.028564	0.152954	0.468262	0.001463	-0.008588	0.001718	24
-0.024414	0.153320	0.468384	0.001463	-0.008651	0.001399	25
-0.024780	0.152222	0.465698	0.001336	-0.008015	0.001718	26
-0.027344	0.151611	0.466553	0.001527	-0.007761	0.002290	27
-0.024780	0.150024	0.467896	0.001590	-0.007888	0.001972	28
-0.023315	0.152344	0.469482	0.001654	-0.008015	0.002354	29
-0.022461	0.151733	0.465576	0.001336	-0.007252	0.002799	30
-0.021118	0.152466	0.463257	0.001018	-0.006425	0.003181	31
-0.023315	0.153198	0.463135	0.000191	-0.006616	0.003880	32
-0.022827	0.155029	0.462891	-0.000827	-0.005598	0.004962	33
-0.024536	0.153564	0.458252	-0.001654	-0.005153	0.005153	34
-0.024170	0.150269	0.462280	-0.002290	-0.005534	0.005598	35
-0.022705	0.149902	0.462524	-0.002735	-0.005216	0.006043	36
-0.024658	0.149780	0.464844	-0.002799	-0.004771	0.006170	37
-0.026733	0.151855	0.466064	-0.002290	-0.004580	0.006870	38
-0.029053	0.148193	0.464233	-0.001654	-0.004135	0.007061	39
-0.028931	0.149658	0.464355	-0.000954	-0.004389	0.006997	40
-0.030518	0.150146	0.464844	-0.000127	-0.003753	0.006870	41
-0.029907	0.150513	0.462524	0.000891	-0.003690	0.006616	42
-0.029785	0.153442	0.464111	0.002226	-0.004835	0.006616	43
-0.027466	0.155273	0.460938	0.002926	-0.004517	0.006043	44
-0.028198	0.157471	0.463379	0.003499	-0.004453	0.005980	45
-0.028076	0.156006	0.465576	0.003181	-0.004198	0.005534	46
-0.029907	0.157715	0.467041	0.003053	-0.005089	0.005216	47
-0.029785	0.158203	0.465576	0.003244	-0.004580	0.005089	48
-0.027954	0.160400	0.464966	0.002926	-0.004198	0.004707	49
-0.026489	0.160156	0.463623	0.002354	-0.003880	0.004198	50
-0.024414	0.160889	0.463257	0.001590	-0.004835	0.004453	51
-0.025513	0.156006	0.464600	0.001209	-0.003435	0.003817	52
-0.025024	0.156372	0.462891	0.000891	-0.003244	0.003435	53
-0.026855	0.157227	0.461670	0.000891	-0.003562	0.003499	54
-0.027344	0.158203	0.459961	0.000445	-0.003308	0.004008	55
-0.025879	0.156860	0.459351	0.000064	-0.003053	0.004008	56
-0.026245	0.155640	0.456665	-0.000636	-0.002290	0.003753	57
-0.028198	0.153198	0.460693	-0.000954	-0.002290	0.004262	58
-0.028076	0.152588	0.459473	-0.001399	-0.002481	0.004071	59
-0.027100	0.151123	0.458618	-0.001272	-0.002735	0.004135	60
-0.026978	0.153564	0.459595	-0.000700	-0.002735	0.004644	61
-0.025757	0.154053	0.460571	-0.000445	-0.003117	0.004771	62
-0.027954	0.152344	0.464966	-0.000127	-0.003753	0.004644	63
-0.026733	0.152832	0.461304	-0.000064	-0.003880	0.004771	64
-0.028687	0.153809	0.466187	0.000509	-0.003817	0.004771	65
-0.028198	0.154785	0.464233	0.000700	-0.004771	0.004580	66
-0.029175	0.152832	0.462402	0.001018	-0.004771	0.004135	67
-0.028198	0.155273	0.463501	0.001399	-0.004644	0.004389	68
-0.028076	0.152100	0.464844	0.001972	-0.004326	0.004008	69
-0.027466	0.156616	0.464722	0.002036	-0.004580	0.003690	70
-0.028198	0.159180	0.463013	0.002163	-0.005598	0.004262	71
